,y_true,y_pred,precision,coverage,a0,a1,a2,a3
46,1,2,0.6692307692307692,0.0461,residual_sugar > 11.50,alcohol > 11.00,fixed_acidity > 7.10,density <= 1.00
570,2,2,0.6880570409982175,0.046,alcohol <= 11.00,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,density <= 1.00
14,1,0,0.5889453621346887,0.046,residual_sugar <= 7.55,alcohol > 9.50,fixed_acidity <= 7.10,density <= 1.00
379,0,1,0.47309833024118736,0.0459,alcohol <= 9.50,residual_sugar > 4.10,density > 1.00,
19,0,0,0.9376623376623376,0.0459,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,
984,1,1,0.5749299719887955,0.0456,residual_sugar > 7.55,alcohol <= 11.00,fixed_acidity > 10.40,density > 1.00
802,2,1,0.5933391761612621,0.0453,residual_sugar > 11.50,alcohol <= 11.00,fixed_acidity <= 13.12,density > 1.00
558,0,0,0.91725768321513,0.0453,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,
242,2,2,0.7974683544303798,0.0453,residual_sugar > 11.50,alcohol > 11.00,fixed_acidity > 10.40,density <= 1.00
378,0,2,0.553582752060875,0.0452,residual_sugar > 11.50,alcohol > 9.50,density > 1.00,
45,2,2,0.5978021978021978,0.0452,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,residual_sugar <= 11.50,density <= 1.00
775,0,1,0.5805825242718446,0.045,residual_sugar > 7.55,alcohol <= 12.60,fixed_acidity > 10.40,1.00 < density <= 1.00
707,1,2,0.5581920903954802,0.0445,residual_sugar > 11.50,alcohol > 9.50,density <= 0.99,
824,1,0,0.5716878402903811,0.0443,11.00 < alcohol <= 12.60,residual_sugar <= 11.50,fixed_acidity > 10.40,density <= 1.00
754,2,2,0.5557206537890045,0.0443,residual_sugar > 11.50,alcohol > 9.50,density > 1.00,
489,0,2,0.7108155002891845,0.0441,residual_sugar > 11.50,fixed_acidity > 13.12,alcohol > 9.50,
485,0,2,0.5469448584202683,0.0441,7.10 < fixed_acidity <= 13.12,residual_sugar <= 4.10,0.99 < density <= 1.00,alcohol <= 12.60
262,1,1,0.6305779078273592,0.0441,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,fixed_acidity <= 13.12,density <= 1.00
983,1,0,0.4659182036888532,0.0438,4.10 < residual_sugar <= 7.55,fixed_acidity > 10.40,alcohol <= 12.60,density > 1.00
453,1,0,0.9585062240663901,0.0436,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,
330,0,0,0.7229102167182663,0.0436,alcohol > 11.00,residual_sugar <= 7.55,fixed_acidity <= 7.10,density > 0.99
704,0,2,0.5225496091401083,0.0433,alcohol <= 9.50,fixed_acidity > 13.12,density > 0.99,
322,2,2,0.43531694695989653,0.0432,alcohol > 12.60,residual_sugar > 4.10,fixed_acidity <= 7.10,
367,1,1,0.512013256006628,0.043,7.10 < fixed_acidity <= 13.12,11.00 < alcohol <= 12.60,residual_sugar <= 11.50,0.99 < density <= 1.00
17,1,1,0.56608639587363,0.043,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,density > 1.00
968,1,1,0.7648780487804878,0.0429,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,fixed_acidity > 7.10,density > 0.99
747,1,1,0.5880184331797235,0.0428,residual_sugar > 7.55,alcohol <= 12.60,fixed_acidity > 10.40,1.00 < density <= 1.00
113,1,2,0.6733481811432813,0.0428,alcohol <= 11.00,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,density > 0.99
470,0,0,0.9003496503496503,0.0423,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,
937,2,2,0.7240164415736935,0.0421,residual_sugar > 11.50,alcohol > 12.60,density <= 1.00,
849,2,2,0.5630944831959417,0.0418,residual_sugar > 11.50,density <= 0.99,alcohol > 9.50,
767,2,2,0.7145476772616137,0.0417,residual_sugar > 11.50,alcohol > 12.60,density <= 1.00,
115,0,0,0.9519230769230769,0.0417,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,
178,2,0,0.6090670170827858,0.0416,fixed_acidity > 13.12,9.50 < alcohol <= 12.60,residual_sugar <= 11.50,density <= 1.00
526,2,1,0.7698492462311558,0.0413,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,fixed_acidity > 7.10,density > 0.99
685,0,2,0.5544893762851268,0.0405,residual_sugar > 11.50,alcohol > 9.50,density <= 0.99,
265,1,1,0.7829076620825147,0.0403,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,
359,0,1,0.6694630872483222,0.04,alcohol <= 9.50,residual_sugar > 11.50,fixed_acidity <= 13.12,0.99 < density <= 1.00
420,2,0,0.5014619883040936,0.0399,alcohol > 11.00,fixed_acidity <= 10.40,residual_sugar > 4.10,0.99 < density <= 1.00
459,2,2,0.6112737920937042,0.0398,alcohol <= 9.50,4.10 < residual_sugar <= 7.55,fixed_acidity <= 13.12,density <= 1.00
719,0,2,0.5122349102773246,0.0396,residual_sugar > 7.55,alcohol > 11.00,fixed_acidity > 10.40,density > 1.00
596,0,0,0.6470588235294118,0.0395,alcohol > 11.00,residual_sugar <= 7.55,fixed_acidity > 13.12,density > 1.00
394,2,2,0.48616600790513836,0.0395,alcohol <= 11.00,7.10 < fixed_acidity <= 10.40,density > 1.00,
427,2,2,0.5203412073490814,0.0393,fixed_acidity > 7.10,residual_sugar > 7.55,alcohol > 12.60,0.99 < density <= 1.00
90,1,1,0.7623762376237624,0.0392,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,
716,1,0,0.8296296296296296,0.0389,residual_sugar <= 4.10,11.00 < alcohol <= 12.60,fixed_acidity > 10.40,
75,2,2,0.8543307086614174,0.0386,residual_sugar > 11.50,alcohol > 12.60,fixed_acidity > 10.40,
743,1,0,0.750445632798574,0.0384,9.50 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,density > 1.00
324,1,0,0.506838905775076,0.0376,alcohol > 12.60,density > 1.00,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10
56,2,1,0.6739482200647249,0.0375,alcohol <= 9.50,residual_sugar > 11.50,fixed_acidity <= 13.12,0.99 < density <= 1.00
278,1,1,0.6218375499334221,0.037,residual_sugar > 7.55,alcohol <= 11.00,fixed_acidity > 7.10,1.00 < density <= 1.00
949,0,0,0.6512992455993294,0.0367,alcohol > 11.00,residual_sugar <= 7.55,fixed_acidity > 13.12,density > 1.00
121,1,0,0.7538860103626943,0.0367,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity <= 7.10,
643,1,2,0.777137367915466,0.0365,residual_sugar > 11.50,alcohol > 11.00,fixed_acidity > 10.40,density <= 1.00
615,0,0,0.6768734891216761,0.0363,alcohol > 11.00,residual_sugar <= 4.10,fixed_acidity > 13.12,density > 0.99
475,2,1,0.4220314735336195,0.0363,9.50 < alcohol <= 11.00,density > 1.00,fixed_acidity > 7.10,
88,1,2,0.5459770114942529,0.0362,alcohol > 12.60,residual_sugar > 7.55,density <= 0.99,
29,2,2,0.8597339782345829,0.0361,residual_sugar > 11.50,alcohol > 12.60,fixed_acidity > 10.40,
627,1,2,0.6534181240063593,0.036,alcohol <= 11.00,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,density <= 1.00
184,2,0,0.8172231985940246,0.0358,11.00 < alcohol <= 12.60,residual_sugar <= 4.10,fixed_acidity > 10.40,
611,1,1,0.6827150749802684,0.0355,alcohol <= 9.50,residual_sugar > 7.55,7.10 < fixed_acidity <= 13.12,density <= 1.00
295,0,0,0.7604485219164119,0.0355,alcohol > 12.60,7.10 < fixed_acidity <= 10.40,residual_sugar > 7.55,
400,0,0,0.9235955056179775,0.0354,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,density > 0.99
197,1,1,0.7493857493857494,0.0354,residual_sugar > 11.50,alcohol <= 11.00,7.10 < fixed_acidity <= 13.12,0.99 < density <= 1.00
383,1,0,0.4864,0.0353,alcohol > 9.50,residual_sugar <= 11.50,fixed_acidity <= 7.10,density > 1.00
23,0,0,0.9092558983666061,0.0353,alcohol > 11.00,4.10 < residual_sugar <= 7.55,fixed_acidity <= 7.10,
962,2,0,0.6721854304635762,0.0352,4.10 < residual_sugar <= 7.55,fixed_acidity > 13.12,alcohol <= 12.60,density <= 1.00
452,2,2,0.7177570093457943,0.035,fixed_acidity > 13.12,alcohol > 12.60,residual_sugar > 7.55,
551,1,1,0.7714528462192014,0.0349,residual_sugar > 11.50,alcohol <= 12.60,10.40 < fixed_acidity <= 13.12,density > 0.99
143,1,1,0.8,0.0349,residual_sugar > 7.55,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,density <= 1.00
445,0,2,0.5234853641933288,0.0348,alcohol <= 9.50,fixed_acidity > 13.12,density <= 1.00,
373,2,2,0.5766574585635359,0.0347,alcohol <= 11.00,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,density <= 0.99
157,1,1,0.7910772578890098,0.0346,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,density > 0.99
811,0,2,0.6463481603514553,0.0345,alcohol > 12.60,residual_sugar > 7.55,fixed_acidity > 10.40,density > 1.00
759,2,1,0.967741935483871,0.0345,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
456,1,1,0.6529108327192336,0.0345,alcohol <= 9.50,residual_sugar > 11.50,fixed_acidity <= 13.12,0.99 < density <= 1.00
80,2,2,0.735357917570499,0.0345,alcohol <= 9.50,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,0.99 < density <= 1.00
51,2,2,0.7007759456838021,0.0345,residual_sugar > 11.50,alcohol > 12.60,0.99 < density <= 1.00,
776,0,2,0.720491029272899,0.0344,alcohol <= 9.50,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,0.99 < density <= 1.00
645,1,1,0.9829268292682927,0.0344,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
214,0,0,0.8293193717277487,0.0343,11.00 < alcohol <= 12.60,residual_sugar <= 4.10,fixed_acidity > 10.40,
602,0,1,0.96875,0.0342,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
590,1,2,0.6064042695130086,0.034,alcohol <= 9.50,residual_sugar <= 4.10,density > 0.99,fixed_acidity <= 13.12
352,1,1,0.9734513274336283,0.034,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
585,0,2,0.6821247892074199,0.0339,alcohol <= 11.00,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,density <= 1.00
361,1,0,0.9121338912133892,0.0339,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,density > 0.99
268,1,1,0.7909556313993175,0.0339,residual_sugar > 11.50,alcohol <= 12.60,10.40 < fixed_acidity <= 13.12,density > 0.99
261,2,1,0.8140293637846656,0.0338,residual_sugar > 11.50,alcohol <= 12.60,10.40 < fixed_acidity <= 13.12,density > 0.99
193,1,2,0.738003838771593,0.0338,alcohol <= 9.50,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,0.99 < density <= 1.00
819,1,0,0.5255319148936171,0.0337,alcohol > 9.50,4.10 < residual_sugar <= 7.55,0.99 < density <= 1.00,
215,0,2,0.8948948948948949,0.0337,residual_sugar > 11.50,fixed_acidity > 13.12,alcohol > 11.00,
639,0,0,0.704772475027747,0.0336,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,density <= 0.99,
771,2,1,0.9701492537313433,0.0335,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
264,0,1,0.9568627450980393,0.0335,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
260,0,1,0.6209150326797386,0.0335,residual_sugar > 11.50,alcohol <= 11.00,fixed_acidity <= 13.12,0.99 < density <= 1.00
574,2,2,0.49437229437229435,0.0333,alcohol > 12.60,fixed_acidity > 10.40,density > 1.00,
497,0,0,0.7522361359570662,0.0333,residual_sugar <= 4.10,fixed_acidity > 13.12,9.50 < alcohol <= 12.60,density > 0.99
432,0,0,0.7324083250743311,0.0329,alcohol > 12.60,7.10 < fixed_acidity <= 10.40,residual_sugar > 7.55,
282,1,2,0.7882096069868996,0.0327,residual_sugar > 11.50,alcohol > 11.00,fixed_acidity > 10.40,0.99 < density <= 1.00
625,0,0,0.6302843966179862,0.0326,fixed_acidity > 13.12,4.10 < residual_sugar <= 7.55,alcohol <= 12.60,density <= 1.00
874,2,2,0.6806790622473726,0.0325,alcohol <= 11.00,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,density <= 1.00
693,2,2,0.4735395189003436,0.0324,7.55 < residual_sugar <= 11.50,alcohol > 9.50,fixed_acidity <= 7.10,0.99 < density <= 1.00
395,1,1,0.9831932773109243,0.0324,alcohol <= 11.00,residual_sugar > 11.50,10.40 < fixed_acidity <= 13.12,
650,1,2,0.4632411067193676,0.0323,7.10 < fixed_acidity <= 10.40,alcohol <= 12.60,residual_sugar <= 7.55,1.00 < density <= 1.00
462,1,0,0.7495378927911276,0.0323,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity <= 7.10,
856,0,0,0.6823295830575777,0.0322,11.00 < alcohol <= 12.60,residual_sugar <= 4.10,density > 1.00,fixed_acidity > 7.10
186,0,0,0.5164737310774711,0.0322,alcohol > 12.60,7.10 < fixed_acidity <= 13.12,residual_sugar > 7.55,density <= 1.00
550,1,1,0.9801324503311258,0.0321,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
858,2,1,0.6364296081277213,0.032,residual_sugar > 11.50,alcohol <= 9.50,fixed_acidity <= 13.12,density <= 1.00
547,2,2,0.5397951142631994,0.032,residual_sugar > 7.55,alcohol > 11.00,fixed_acidity > 10.40,1.00 < density <= 1.00
111,2,1,0.7612456747404844,0.032,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,density > 0.99
912,0,0,0.9519774011299436,0.0317,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,density <= 1.00
448,2,2,0.5765886287625418,0.0316,alcohol <= 11.00,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,density > 1.00
446,2,2,0.904,0.0315,residual_sugar > 11.50,fixed_acidity > 13.12,alcohol > 11.00,
757,2,1,0.9578544061302682,0.0314,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
575,2,2,0.7443609022556391,0.0314,residual_sugar > 11.50,alcohol > 12.60,density <= 1.00,
654,2,0,0.6706377014716188,0.0313,fixed_acidity > 13.12,4.10 < residual_sugar <= 7.55,alcohol <= 12.60,density <= 1.00
665,2,1,0.9649122807017544,0.0312,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
564,0,0,0.9168539325842696,0.0312,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,density <= 1.00
423,1,2,0.5812841530054644,0.0312,alcohol <= 11.00,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,density <= 0.99
239,1,1,0.724979658258747,0.0311,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,density <= 1.00
877,1,1,0.5947187141216992,0.031,alcohol <= 9.50,10.40 < fixed_acidity <= 13.12,residual_sugar > 4.10,density > 0.99
592,0,2,0.7082352941176471,0.0309,alcohol <= 9.50,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,density > 1.00
948,1,2,0.6624584717607973,0.0308,alcohol <= 9.50,4.10 < residual_sugar <= 7.55,fixed_acidity > 10.40,
449,0,0,0.8106734434561627,0.0308,11.00 < alcohol <= 12.60,residual_sugar <= 4.10,fixed_acidity > 10.40,density > 0.99
9,1,1,0.9651741293532339,0.0308,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
566,1,1,0.8094262295081968,0.0307,residual_sugar > 7.55,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,density <= 1.00
922,2,1,0.960431654676259,0.0304,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
805,1,1,0.9800796812749004,0.0304,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
246,2,2,0.6965944272445821,0.0304,alcohol > 12.60,residual_sugar > 7.55,fixed_acidity > 13.12,
587,1,0,0.7061818181818181,0.0303,alcohol > 12.60,fixed_acidity <= 10.40,4.10 < residual_sugar <= 11.50,0.99 < density <= 1.00
398,2,2,0.6768128916741272,0.0302,alcohol <= 11.00,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,density <= 1.00
914,0,1,0.7993527508090615,0.0301,residual_sugar > 7.55,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,0.99 < density <= 1.00
232,2,0,0.7327141382868937,0.0299,11.00 < alcohol <= 12.60,residual_sugar <= 4.10,fixed_acidity > 7.10,density > 1.00
532,1,0,0.643609022556391,0.0298,4.10 < residual_sugar <= 7.55,fixed_acidity > 13.12,alcohol <= 12.60,density > 0.99
166,0,0,0.6561702127659574,0.0297,alcohol > 12.60,4.10 < residual_sugar <= 7.55,fixed_acidity <= 13.12,density > 1.00
167,2,0,0.44684129429892144,0.0296,11.00 < alcohol <= 12.60,0.99 < density <= 1.00,fixed_acidity > 10.40,
915,0,1,0.597103357472021,0.0294,residual_sugar > 7.55,10.40 < fixed_acidity <= 13.12,1.00 < density <= 1.00,
913,2,0,0.7250229147571036,0.0294,11.00 < alcohol <= 12.60,residual_sugar <= 4.10,density > 1.00,fixed_acidity > 7.10
206,0,0,0.46327467482785006,0.0294,residual_sugar <= 4.10,fixed_acidity <= 7.10,density <= 1.00,
655,0,1,0.5947986577181208,0.0293,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,0.99 < density <= 1.00
622,1,1,0.7981109799291618,0.0293,residual_sugar > 11.50,alcohol <= 12.60,10.40 < fixed_acidity <= 13.12,density <= 1.00
311,1,1,0.8116591928251121,0.0293,residual_sugar > 11.50,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,density <= 1.00
624,0,2,0.6596467391304348,0.0292,residual_sugar > 7.55,alcohol > 12.60,fixed_acidity > 10.40,0.99 < density <= 1.00
520,2,2,0.6729191090269636,0.0291,alcohol <= 11.00,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,density > 1.00
408,1,1,0.9837837837837838,0.0291,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
934,1,1,0.961352657004831,0.029,residual_sugar > 11.50,alcohol <= 11.00,10.40 < fixed_acidity <= 13.12,
895,2,1,0.8027057497181511,0.0289,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,7.10 < fixed_acidity <= 10.40,
461,1,1,0.7979683972911964,0.0288,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,density <= 1.00
430,0,2,0.6446469248291572,0.0288,residual_sugar > 11.50,alcohol > 11.00,fixed_acidity > 7.10,density > 1.00
106,1,1,0.7953830010493179,0.0288,alcohol <= 9.50,residual_sugar > 11.50,7.10 < fixed_acidity <= 13.12,density <= 1.00
822,0,2,0.8509803921568627,0.0287,residual_sugar > 11.50,alcohol > 12.60,fixed_acidity > 10.40,density > 0.99
199,1,1,0.7366412213740458,0.0287,residual_sugar > 7.55,alcohol <= 12.60,10.40 < fixed_acidity <= 13.12,0.99 < density <= 1.00
110,0,1,0.48735119047619047,0.0286,7.10 < fixed_acidity <= 13.12,11.00 < alcohol <= 12.60,1.00 < density <= 1.00,residual_sugar <= 11.50
450,1,2,0.6289156626506024,0.0282,alcohol <= 9.50,4.10 < residual_sugar <= 7.55,fixed_acidity <= 13.12,density > 1.00
291,2,1,0.7779083431257344,0.0281,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,density <= 1.00
255,2,1,0.5724090597117364,0.0281,7.10 < fixed_acidity <= 13.12,alcohol <= 9.50,residual_sugar > 4.10,0.99 < density <= 1.00
189,2,2,0.6808510638297872,0.0281,residual_sugar > 7.55,alcohol > 12.60,fixed_acidity > 10.40,0.99 < density <= 1.00
34,1,2,0.5446623093681917,0.0279,alcohol > 12.60,fixed_acidity > 10.40,density > 0.99,residual_sugar <= 4.10
33,1,2,0.49748743718592964,0.0279,alcohol > 12.60,fixed_acidity > 10.40,density > 0.99,residual_sugar <= 4.10
83,1,2,0.8958333333333334,0.0278,residual_sugar > 11.50,fixed_acidity > 13.12,alcohol > 11.00,density <= 1.00
995,2,0,0.6577243293246994,0.0277,alcohol > 12.60,4.10 < residual_sugar <= 7.55,fixed_acidity <= 13.12,density > 1.00
881,0,1,0.7580037664783428,0.0276,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,fixed_acidity > 7.10,0.99 < density <= 1.00
833,1,1,0.6487455197132617,0.0273,alcohol <= 9.50,residual_sugar > 11.50,fixed_acidity <= 13.12,density > 1.00
437,0,2,0.6475164572112507,0.0273,alcohol <= 11.00,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,density > 1.00
402,2,0,0.5193423597678917,0.0272,alcohol > 12.60,density > 1.00,7.10 < fixed_acidity <= 13.12,residual_sugar > 7.55
372,0,0,0.4996704021094265,0.0271,alcohol > 12.60,density > 1.00,7.10 < fixed_acidity <= 13.12,residual_sugar > 7.55
271,1,2,0.6403301886792453,0.0271,residual_sugar > 7.55,alcohol > 12.60,fixed_acidity <= 7.10,
22,2,1,0.5054229934924078,0.0271,7.10 < fixed_acidity <= 13.12,9.50 < alcohol <= 11.00,density > 1.00,
11,1,1,0.5820209973753281,0.0271,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,0.99 < density <= 1.00
980,0,0,0.7733463035019456,0.027,9.50 < alcohol <= 12.60,residual_sugar <= 4.10,fixed_acidity > 13.12,density > 1.00
586,2,2,0.7722868217054264,0.027,alcohol <= 9.50,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,
281,0,2,0.7404227212681638,0.0269,alcohol <= 9.50,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,
149,1,1,0.6108742004264393,0.0269,7.55 < residual_sugar <= 11.50,fixed_acidity > 10.40,density <= 0.99,
535,0,0,0.930635838150289,0.0268,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,density > 1.00
213,1,0,0.9154013015184381,0.0268,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 13.12,density > 1.00
317,2,2,0.675,0.0267,residual_sugar > 7.55,alcohol > 12.60,fixed_acidity > 10.40,0.99 < density <= 1.00
210,1,1,0.7953629032258065,0.0267,alcohol <= 9.50,residual_sugar > 11.50,7.10 < fixed_acidity <= 13.12,density > 0.99
945,0,0,0.7414075286415712,0.0266,residual_sugar <= 7.55,alcohol > 11.00,fixed_acidity <= 7.10,0.99 < density <= 1.00
57,0,0,0.733843537414966,0.0266,alcohol > 11.00,residual_sugar <= 7.55,fixed_acidity <= 7.10,density > 1.00
987,0,1,0.7308868501529052,0.0263,10.40 < fixed_acidity <= 13.12,residual_sugar > 4.10,9.50 < alcohol <= 11.00,0.99 < density <= 1.00
108,0,0,0.7270642201834863,0.0263,alcohol > 11.00,residual_sugar <= 7.55,fixed_acidity <= 7.10,density > 1.00
815,0,2,0.6333541536539663,0.0262,alcohol <= 9.50,4.10 < residual_sugar <= 7.55,fixed_acidity <= 13.12,density > 1.00
871,2,2,0.750733137829912,0.026,residual_sugar > 11.50,alcohol > 12.60,density <= 1.00,fixed_acidity > 7.10
857,2,2,0.7029634734665747,0.026,residual_sugar > 11.50,fixed_acidity > 13.12,density > 1.00,
299,0,0,0.6586206896551724,0.0258,fixed_acidity > 13.12,9.50 < alcohol <= 12.60,residual_sugar <= 11.50,0.99 < density <= 1.00
798,1,1,0.6666666666666666,0.0256,alcohol <= 9.50,residual_sugar > 11.50,fixed_acidity <= 13.12,density > 1.00
947,0,1,0.8340807174887892,0.0254,alcohol <= 9.50,residual_sugar > 7.55,10.40 < fixed_acidity <= 13.12,
620,0,0,0.5952569169960474,0.0254,residual_sugar <= 7.55,alcohol > 9.50,fixed_acidity <= 7.10,0.99 < density <= 1.00
273,0,2,0.6241007194244604,0.0254,alcohol > 12.60,residual_sugar > 7.55,fixed_acidity <= 7.10,
583,1,1,0.8138020833333334,0.0252,residual_sugar > 11.50,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,density <= 1.00
886,0,0,0.6275924256086565,0.025,fixed_acidity > 13.12,9.50 < alcohol <= 12.60,residual_sugar <= 11.50,density > 1.00
675,0,0,0.8299748110831234,0.025,11.00 < alcohol <= 12.60,residual_sugar <= 4.10,fixed_acidity > 10.40,0.99 < density <= 1.00
970,1,2,0.8542458808618505,0.0249,alcohol <= 9.50,residual_sugar <= 7.55,10.40 < fixed_acidity <= 13.12,density <= 1.00
409,1,2,0.5562700964630225,0.0249,alcohol <= 9.50,fixed_acidity > 10.40,residual_sugar <= 11.50,density <= 0.99
963,2,2,0.7430683918669131,0.0248,residual_sugar > 11.50,alcohol > 12.60,density <= 1.00,fixed_acidity > 7.10
630,2,2,0.6865136298421808,0.0247,fixed_acidity > 13.12,alcohol > 12.60,residual_sugar > 7.55,density <= 1.00
454,1,1,0.6720430107526881,0.0247,alcohol <= 9.50,residual_sugar > 11.50,fixed_acidity <= 13.12,density > 1.00
629,1,1,0.7162698412698413,0.0246,9.50 < alcohol <= 11.00,residual_sugar > 4.10,10.40 < fixed_acidity <= 13.12,density <= 1.00
576,1,1,0.5634866163349348,0.0246,10.40 < fixed_acidity <= 13.12,density <= 1.00,alcohol > 12.60,residual_sugar <= 7.55
326,2,2,0.6571146245059288,0.0245,residual_sugar > 11.50,alcohol > 11.00,fixed_acidity > 7.10,0.99 < density <= 1.00
890,1,1,0.6347826086956522,0.0242,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,fixed_acidity <= 13.12,density <= 1.00
451,1,0,0.592071611253197,0.0241,alcohol > 9.50,residual_sugar <= 7.55,fixed_acidity <= 7.10,density > 1.00
306,2,0,0.6741214057507987,0.0241,residual_sugar <= 4.10,alcohol > 11.00,fixed_acidity > 13.12,0.99 < density <= 1.00
225,1,2,0.5256887565152644,0.0241,7.55 < residual_sugar <= 11.50,alcohol > 11.00,fixed_acidity <= 7.10,density <= 1.00
360,2,2,0.8684654300168634,0.024,alcohol <= 9.50,residual_sugar <= 7.55,10.40 < fixed_acidity <= 13.12,density <= 1.00
393,0,0,0.6682242990654206,0.0239,alcohol > 11.00,residual_sugar <= 4.10,fixed_acidity > 13.12,0.99 < density <= 1.00
349,0,0,0.6437728937728938,0.0239,fixed_acidity > 13.12,4.10 < residual_sugar <= 7.55,alcohol <= 12.60,density > 1.00
860,0,2,0.7213114754098361,0.0237,residual_sugar > 11.50,fixed_acidity > 13.12,density > 1.00,
173,0,0,0.7484047402005469,0.0237,fixed_acidity > 13.12,residual_sugar <= 4.10,9.50 < alcohol <= 12.60,density > 1.00
633,2,2,0.9173728813559322,0.0233,residual_sugar > 11.50,fixed_acidity > 13.12,alcohol > 11.00,density <= 1.00
